"filename", "language", "C#", "comment", "blank", "total"
"g:\Unity_Projects\Roomur\Assets\Scripts\Editor\MeshRendererEditor.cs", "C#", 92, 51, 20, 163
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\ArcherController.cs", "C#", 116, 0, 19, 135
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\BatActive.cs", "C#", 136, 0, 22, 158
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\BossSkeletonActive.cs", "C#", 112, 0, 14, 126
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\Enemy.cs", "C#", 146, 0, 21, 167
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\InitEnemy.cs", "C#", 69, 0, 15, 84
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\SkeletonActive.cs", "C#", 38, 0, 13, 51
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\SlimeActive.cs", "C#", 24, 2, 8, 34
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\SpiderActive.cs", "C#", 32, 0, 7, 39
"g:\Unity_Projects\Roomur\Assets\Scripts\EnemeyScipts\Track.cs", "C#", 46, 0, 8, 54
"g:\Unity_Projects\Roomur\Assets\Scripts\FPS.cs", "C#", 19, 2, 6, 27
"g:\Unity_Projects\Roomur\Assets\Scripts\PlayerScripts\MerchantActive.cs", "C#", 26, 0, 6, 32
"g:\Unity_Projects\Roomur\Assets\Scripts\PlayerScripts\PlayerAttack.cs", "C#", 170, 7, 29, 206
"g:\Unity_Projects\Roomur\Assets\Scripts\PlayerScripts\PlayerController.cs", "C#", 367, 14, 66, 447
"g:\Unity_Projects\Roomur\Assets\Scripts\PlayerScripts\SwitchAttackMode.cs", "C#", 22, 0, 5, 27
"g:\Unity_Projects\Roomur\Assets\Scripts\PlayerScripts\SyrisController.cs", "C#", 39, 0, 4, 43
"g:\Unity_Projects\Roomur\Assets\Scripts\PlayerScripts\TailorController.cs", "C#", 16, 0, 4, 20
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\ArrowMovement.cs", "C#", 85, 0, 12, 97
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\BarrelDes.cs", "C#", 22, 0, 5, 27
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\CameraController.cs", "C#", 13, 0, 3, 16
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\ChestActive.cs", "C#", 40, 0, 10, 50
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\ClueController.cs", "C#", 36, 0, 7, 43
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\CoinUse.cs", "C#", 16, 2, 6, 24
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\Collect.cs", "C#", 19, 0, 4, 23
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\CorssBowController.cs", "C#", 80, 0, 19, 99
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\DoorToOtherFloor.cs", "C#", 42, 0, 9, 51
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\DummyActive.cs", "C#", 44, 0, 9, 53
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\EffectHeavyHit.cs", "C#", 47, 0, 7, 54
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\EndingDesision.cs", "C#", 21, 0, 4, 25
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\KillSyris.cs", "C#", 26, 0, 5, 31
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\LeverController.cs", "C#", 43, 0, 7, 50
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\LightFlicker.cs", "C#", 26, 6, 9, 41
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\PropManager.cs", "C#", 58, 0, 13, 71
"g:\Unity_Projects\Roomur\Assets\Scripts\PropScripts\TrolleyMovement.cs", "C#", 62, 0, 8, 70
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\Bag.cs", "C#", 23, 0, 4, 27
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\BillboardController.cs", "C#", 43, 0, 7, 50
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\DialogSystem.cs", "C#", 94, 0, 22, 116
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\EmissionPulse.cs", "C#", 21, 8, 10, 39
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\EndOfLevelTwo.cs", "C#", 33, 0, 3, 36
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\FailScreenManager.cs", "C#", 40, 0, 11, 51
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\GameSaveManager.cs", "C#", 82, 6, 32, 120
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\KeysFunction.cs", "C#", 7, 0, 2, 9
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\LevelManager.cs", "C#", 19, 0, 3, 22
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\LoadManager.cs", "C#", 40, 4, 15, 59
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\MenuManager.cs", "C#", 52, 0, 13, 65
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\MusicFadeOut.cs", "C#", 28, 0, 7, 35
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\PlayEndingAnimation.cs", "C#", 14, 0, 3, 17
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\Save.cs", "C#", 21, 3, 4, 28
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\SoundManager.cs", "C#", 32, 0, 8, 40
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\UIManagerForSceneOne.cs", "C#", 52, 0, 10, 62
"g:\Unity_Projects\Roomur\Assets\Scripts\UIScripts\UIManagerForSceneTwo.cs", "C#", 15, 0, 5, 20
"Total", "-", 2766, 105, 563, 3434
